fish_id,qPCR_screened,sample_type,pre_post,date_capture,hold_id,tank,focal,sequenced,fate,date_necropsy,days_in_study,lesions_post,fork_length_cm_post,girth_cm_post,sex,stock_origin,fl_psy_copy,mo_vis_copy,pisck_sal_copy,re_sal_copy,rlo_copy,te_dic,te_fin,te_mar,vi_sal,te_dic_detect,te_mar_detect
59742,Y,swab,pre,2022-08-11,Aug9,18,N,N,end_hold,2022-08-22,11,0,72,38,male,ROBERTSON_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59748,Y,gill,pre,2022-08-12,Aug9,20,N,N,end_hold,2022-08-22,10,0,80,47,female,ROBERTSON_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59748,Y,gill,post,2022-08-12,Aug9,20,N,N,end_hold,2022-08-22,10,0,80,47,female,ROBERTSON_CREEK,0,  0.00,  0.00,0.00,0.00,    267.26,  0.00,   216.04,0.00,NA,Y
59748,Y,swab,pre,2022-08-12,Aug9,20,N,N,end_hold,2022-08-22,10,0,80,47,female,ROBERTSON_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59749,Y,swab,pre,2022-08-09,Aug9,19,N,N,end_hold,2022-08-21,12,0,38,18,female,SNOHOMISH_RIVER,2.87722421838057,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59754,Y,swab,pre,2022-08-10,Aug9,19,N,N,end_hold,2022-08-21,11,0,37,18,female,SOOS_CREEK,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59756,Y,swab,pre,2022-08-11,Aug9,21,N,N,end_hold,2022-08-22,11,0,38,17,female,ABERNATHY_RIVER,3.4412512700685,  0.00,  0.00,0.00,0.00,      0.00,  0.00,    11.71,0.00,NA,Y
59759,Y,gill,pre,2022-08-09,Aug9,20,Y,N,end_hold,2022-08-21,12,1,42,22,male,COWICHAN_RIVER,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     2.70,0.00,NA,Y
59759,Y,gill,post,2022-08-09,Aug9,20,Y,N,end_hold,2022-08-21,12,1,42,22,male,COWICHAN_RIVER,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59759,Y,kidney,post,2022-08-09,Aug9,20,Y,N,end_hold,2022-08-21,12,1,42,22,male,COWICHAN_RIVER,0,  0.00,507.01,0.00,3.85,     34.12,  0.00,     0.00,0.00,NA,N
59759,Y,liver,post,2022-08-09,Aug9,20,Y,N,end_hold,2022-08-21,12,1,42,22,male,COWICHAN_RIVER,0,  0.00,  2.73,0.00,0.00,     12.47,  0.00,     0.00,0.00,NA,N
59759,Y,swab,pre,2022-08-09,Aug9,20,Y,N,end_hold,2022-08-21,12,1,42,22,male,COWICHAN_RIVER,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     2.39,0.00,NA,Y
59759,Y,swab,post,2022-08-09,Aug9,20,Y,N,end_hold,2022-08-21,12,1,42,22,male,COWICHAN_RIVER,0,  0.00,  0.00,0.00,0.00,     53.76,  0.00,     0.00,0.00,NA,N
59764,Y,swab,pre,2022-08-09,Aug9,21,N,N,end_hold,2022-08-22,13,0,42,21,male,ABERNATHY_RIVER,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59766,Y,gill,pre,2022-08-09,Aug9,19,N,N,end_hold,2022-08-21,12,0,69,39,male,SARITA_RIVER,0,  0.00,  0.00,0.00,0.00,      0.00,  0.00,     0.00,0.00,NA,N
59766,Y,gill,post,2022-08-09,Aug9,19,N,N,end_hold,2022-08-21,12,0,69,39,male,SARITA_RIVER,0,  0.00,  0.00,0.00,0.00,      0.79,  0.00,     0.00,0.00,NA,N
